NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.5813
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	10.5818
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.2723
PGIM India Banking and PSU Debt fund - Bonus	13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend	10.2852
PGIM India Banking and PSU Debt fund - Monthly Dividend	10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus	11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend	10.7037
PGIM India Banking and PSU Debt Fund - Regular Dividend	10.2715
PGIM India Banking and PSU Debt fund - Weekly Dividend	10.2735
PGIM India Banking and PSU Debt fund -Growth	21.0167
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus	13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus	15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend	11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend	10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend	10.7667
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend	10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth	22.0215
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1246.2248
SBI BANKING & PSU FUND - Direct Plan - Growth	2829.2889
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1209.1513
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1243.4555
SBI BANKING & PSU FUND - Regular Paln - Growth	2686.8925
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1225.8358
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1150.1023
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1225.5788
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.6934
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2273
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.3667
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5091
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.6319
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3522
